Title,Nodes,Edges,Branching_Factor,Loops
Animal Farm,19,9,0.95,0
A Clockwork Orange,21,17,1.62,6
The Plague,14,4,0.57,0
A Fire Upon the Deep,21,20,1.9,9
All Quiet on the Western Front,19,12,1.26,3
A Wizard of Earthsea,22,21,1.91,9
Blade Runner 2: The Edge of Human,23,22,1.91,9
Children of Dune,22,18,1.64,6
"Candide, ou l'Optimisme",18,8,0.89,0
Chapterhouse Dune,20,16,1.6,6
Carmilla,23,19,1.65,6
The Cider House Rules,18,11,1.22,3
Dracula,24,23,1.92,9
Don Quixote,19,12,1.26,3
Dune Messiah,19,15,1.58,6
Death of a Hero,23,19,1.65,6
The Trial,22,21,1.91,9
The Metamorphosis,23,22,1.91,9
Fahrenheit 451,16,6,0.75,0
Farmer Giles of Ham,18,11,1.22,3
Gaudy Night,19,9,0.95,0
God Emperor of Dune,25,24,1.92,9
Gone with the Wind,14,4,0.57,0
Heart of Darkness,18,11,1.22,3
Heretics of Dune,20,16,1.6,6
Adventures of Huckleberry Finn,21,17,1.62,6
Ivanhoe,18,11,1.22,3
Microserfs,21,17,1.62,6
"Moby-Dick; or, The Whale",28,30,2.14,12
Moonfleet,19,12,1.26,3
Neuromancer,17,7,0.82,0
Cryptonomicon,16,9,1.12,3
No Logo,18,11,1.22,3
The Three Stigmata of Palmer Eldritch,16,6,0.75,0
Time out of Joint,23,19,1.65,6
A Scanner Darkly,20,13,1.3,3
Radio Free Albemuth,18,11,1.22,3
Pride and Prejudice,25,24,1.92,9
Pale Fire,19,12,1.26,3
Rosencrantz & Guildenstern Are Dead,22,18,1.64,6
Ringworld,20,13,1.3,3
Rendezvous with Rama,25,27,2.16,12
Sense and Sensibility,20,13,1.3,3
Speaker for the Dead,21,17,1.62,6
Starship Troopers,21,20,1.9,9
Stuart Little,23,19,1.65,6
The Lord of the Rings,19,12,1.26,3
The Doors of Perception,20,13,1.3,3
The Time Machine,17,10,1.18,3
The Shockwave Rider,26,28,2.15,12
The Shining,24,23,1.92,9
Mort,29,37,2.55,18
The Hound of the Baskervilles,22,18,1.64,6
The Hobbit,23,22,1.91,9
The Great Divorce,20,13,1.3,3
The Screwtape Letters,23,22,1.91,9
The Pit and the Pendulum,18,11,1.22,3
The Hunt for Red October,21,14,1.33,3
The Cardinal of the Kremlin,16,6,0.75,0
Debt of Honor,20,19,1.9,9
Tunnel in the Sky,19,15,1.58,6
The Mismeasure of Man,20,13,1.3,3
The Picture of Dorian Gray,20,13,1.3,3
The Fountains of Paradise,18,11,1.22,3
Lord of the Flies,22,18,1.64,6
Waiting for Godot,22,21,1.91,9
The Wanderer,20,16,1.6,6
2010: Odyssey Two,16,6,0.75,0
Brave New World,19,12,1.26,3
Aeneid,18,11,1.22,3
The Invisible Man,21,20,1.9,9
Twenty Thousand Leagues Under the Sea,19,12,1.26,3
Keep the Aspidistra Flying,15,5,0.67,0
Northanger Abbey,20,16,1.6,6
The Eye of the World,20,13,1.3,3
The Great Hunt,19,12,1.26,3
Winter's Heart,19,12,1.26,3
Around the World in Eighty Days,17,10,1.18,3
The Grapes of Wrath,23,19,1.65,6
The Queen of the Damned,18,11,1.22,3
Gulliver's Travels,22,21,1.91,9
The Color Purple,18,11,1.22,3
A Midsummer Night's Dream,23,19,1.65,6
The English Patient,17,10,1.18,3
Blood Music,19,12,1.26,3
The World According to Garp,17,10,1.18,3
The Memory of Earth,19,9,0.95,0
The Puppet Masters,19,15,1.58,6
The Wind in the Willows,21,17,1.62,6
Jonathan Livingston Seagull,16,9,1.12,3
I Am Legend,28,33,2.36,15
The Stranger,58,43,1.48,15
The Man in the High Castle,17,7,0.82,0
Rocket Ship Galileo,24,23,1.92,9
Space Cadet,20,16,1.6,6
Between Planets,18,11,1.22,3
Starman Jones,17,10,1.18,3
Podkayne of Mars,24,26,2.17,12
The Star Beast,23,22,1.91,9
Dr. No,18,11,1.22,3
The Andromeda Strain,22,18,1.64,6
Harry Potter and the Philosopher's Stone,20,13,1.3,3
Down and Out in Paris and London,19,15,1.58,6
The Last Man,29,34,2.34,15
The Transmigration of Timothy Archer,19,15,1.58,6
Dirk Gently's Holistic Detective Agency,20,13,1.3,3
Dragonflight,21,17,1.62,6
The Diamond Age,23,22,1.91,9
The Hunchback of Notre Dame,23,22,1.91,9
Alice's Adventures in Wonderland,20,16,1.6,6
Now Wait for Last Year,27,29,2.15,12
The Magician's Nephew,17,7,0.82,0
The Patchwork Girl of Oz,18,11,1.22,3
To Sail Beyond the Sunset,16,6,0.75,0
Double Star,26,28,2.15,12
Time for the Stars,18,11,1.22,3
Citizen of the Galaxy,23,25,2.17,12
Stranger in a Strange Land,19,12,1.26,3
Glory Road,20,16,1.6,6
The Moon Is a Harsh Mistress,21,17,1.62,6
I Will Fear No Evil,14,4,0.57,0
The Cat Who Walks Through Walls,22,18,1.64,6
Methuselah's Children,20,13,1.3,3
The Wonderful Wizard of Oz,21,17,1.62,6
Wuthering Heights,22,18,1.64,6
Jane Eyre,18,11,1.22,3
Catch-22,23,22,1.91,9
Robinson Crusoe,14,4,0.57,0
Clear and Present Danger,25,24,1.92,9
Emma,22,18,1.64,6
Charlie and the Chocolate Factory,21,17,1.62,6
Anne of Green Gables,21,14,1.33,3
The Wasp Factory,25,27,2.16,12
Espedair Street,19,16,1.68,6
The Crow Road,16,6,0.75,0
Consider Phlebas,17,10,1.18,3
Inversions,19,12,1.26,3
Ender's Game,22,18,1.64,6
Measure for Measure,19,15,1.58,6
"Flow My Tears, The Policeman Said",20,13,1.3,3
